title,artist,date_display,year_sort,century,circa,supplied_title,context
Saint Bernard,Édouard Baldus,1852–1857,1852,19,false,false,"Statue by François Jouffroy, Decoration of the Louvre, Paris"
Saint Grégoire de Tours,Édouard Baldus,1852–1857,1852,19,false,false,"Statue by Jean-Esprit Marcellin, Decoration of the Louvre, Paris"
"Engraving of Bartolmé Murillo's ""The Infant Christ and Saint John the Baptist with a Shell""",Unknown,about 1870–1890,1870,19,true,true,
"Head of a Saint, Chiapas",Manuel Álvarez Bravo,1980s,1980,20,true,true,
Head of an Unknown Saint,William Henry Fox Talbot,May 1839,1839,19,false,true,
Madonna and Child with Saint John the Baptist,Gustavo Reiger,1859,1859,19,false,true,
Painting depicting the martyrdom of Saint Sebastian,Unknown,about 1865–1885,1865,19,true,true,
Portes de Sainte Marie des Graces a Milan,Unknown,about 1865,1865,19,true,true,
Priests at Sainte Marie de la Pierre-qui-Vire,Unknown,1860s,1860,19,true,true,
Saint Anne of the Crooked Halo,Roi Partridge,about 1920,1920,20,true,true,
Saint Francis praying beneath a tree,Bisson Frères,1858,1858,19,false,true,
Saint Jerome beside a pollard willow,Bisson Frères,1858,1858,19,false,true,
Saint Jerome in prayer,Unknown,about 1880–1889,1880,19,true,true,
Saint Paul in meditation,Bisson Frères,1858,1858,19,false,true,
"Seitz, l'Histoire de Saint Joseph d'après le Carton",Unknown,1859,1859,19,false,true,
Statue of Sainte Marie de la Pierre qui vive,Unknown,1860s,1860,19,true,true,
The mystic marriage of Saint Catherine,Unknown,1859,1859,19,false,true,
Vandalized Fresco by Orozco depicting Saint Francis and an Indigenous Man at Escuela Nacional Preparatorie in Mexico City,Edward Weston,about 1926,1926,20,true,true,
"View of Bernica, Saint Paul",Unknown,about 1880–1900,1880,19,true,true,
Yves Saint Laurent,Marie Cosindas,1968,1968,20,false,true,
A Bishop Saint,Unknown,about 1500,1500,16,true,false,
A Female Saint Contemplating a Crucifix,Giovanni Antonio Guardi,about 1745,1745,18,true,false,
A Male Saint in Glory,Pedro Atanasio Bocanegra,about 1660–1689,1660,17,true,false,
"A Raft Passing Saint Anne, Ottawa",Alexander Henderson,about 1865,1865,19,true,false,
A Saint on Horseback,Giovanni Battista Cima da Conegliano,about 1510,1510,16,true,false,
A Young Knight in Armor Kneeling in Prayer before Saint Anthony,Dreux Jean,about 1465–1470,1465,15,true,false,
"Aimo and Vermondo, Chased up Two Trees by Four Wild Boars, Appealing to the Virgin and Child and Saint Victor to Save Them",Anovelo da Imbonate,about 1400,1400,15,true,false,
An Angel Presents Christ's Burial Garment to the Virgin; The Virgin Shows the Garment to Saint John,Unknown,about 1330–1350,1330,14,true,false,
An Angel Showing the Dragon with Seven Heads and Ten Horns to Saint John,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
April Calendar Page; Saint George,Bedford Master,about 1440–1450,1440,15,true,false,
Arrival of Saint Ursula at Cologne,Bernardo Daddi,about 1330,1330,14,true,false,
