title of work,artist name,year(s) created
"[""Saint Bernard"", Statue by François Jouffroy, Decoration of the Louvre, Paris]",Édouard Baldus,1852–1857
"[""Saint Grégoire de Tours"", Statue by Jean-Esprit Marcellin, Decoration of the Louvre, Paris]",Édouard Baldus,1852–1857
"[Engraving of Bartolmé Murillo's ""The Infant Christ and Saint John the Baptist with a Shell""]",Unknown,about 1870–1890
"[Head of a Saint, Chiapas]",Manuel Álvarez Bravo,1980s
[Head of an Unknown Saint],William Henry Fox Talbot,May 1839
[Madonna and Child with Saint John the Baptist],Gustavo Reiger,1859
[Painting depicting the martyrdom of Saint Sebastian],Unknown,about 1865–1885
[Portes de Sainte Marie des Graces a Milan],Unknown,about 1865
[Priests at Sainte Marie de la Pierre-qui-Vire],Unknown,1860s
[Saint Anne of the Crooked Halo],Roi Partridge,about 1920
[Saint Francis praying beneath a tree],Bisson Frères,1858
[Saint Jerome beside a pollard willow],Bisson Frères,1858
[Saint Jerome in prayer],Unknown,about 1880–1889
[Saint Paul in meditation],Bisson Frères,1858
"[Seitz, l'Histoire de Saint Joseph d'après le Carton]",Unknown,1859
[Statue of Sainte Marie de la Pierre qui vive],Unknown,1860s
[The mystic marriage of Saint Catherine],Unknown,1859
[Vandalized Fresco by Orozco depicting Saint Francis and an Indigenous Man at Escuela Nacional Preparatorie in Mexico City],Edward Weston,about 1926
"[View of Bernica, Saint Paul]",Unknown,about 1880–1900
[Yves Saint Laurent],Marie Cosindas,1968
A Bishop Saint,Unknown,about 1500
A Female Saint Contemplating a Crucifix,Giovanni Antonio Guardi,about 1745
A Male Saint in Glory,Pedro Atanasio Bocanegra,about 1660–1689
"A Raft Passing Saint Anne, Ottawa",Alexander Henderson,about 1865
A Saint on Horseback,Giovanni Battista Cima da Conegliano,about 1510
A Young Knight in Armor Kneeling in Prayer before Saint Anthony,Dreux Jean,about 1465–1470
"Aimo and Vermondo, Chased up Two Trees by Four Wild Boars, Appealing to the Virgin and Child and Saint Victor to Save Them",Anovelo da Imbonate,about 1400
An Angel Presents Christ's Burial Garment to the Virgin; The Virgin Shows the Garment to Saint John,Unknown,about 1330–1350
An Angel Showing the Dragon with Seven Heads and Ten Horns to Saint John,Master of Jean de Mandeville,about 1360–1370
April Calendar Page; Saint George,Bedford Master,about 1440–1450
Arrival of Saint Ursula at Cologne,Bernardo Daddi,about 1330
August Calendar Page; Saint Louis,Bedford Master,about 1440–1450
"Binding, in Crimson Leather, of a Manuscript, which Belonged to Saint Cuthbert",Charles Thurston Thompson,"December 10, 1862"
Bishop Theophilus Finding the Grave of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Border with Scenes from the Life of Saint John,Master of the Lübeck Bible,about 1510–1520
Burial. Mezinka St. Lawrence Is'd,Unknown,1897–1899
Cartoon for the Head of Saint James,Sebastiano del Piombo,about 1520
Charles the Bold Presented by Saint George,Lieven van Lathem,about 1471
